codigo_titulo,titulo,familia_profesional,nivel,codigo_modulo,nombre_modulo
IFC006_3,Desarrollo y Administración de Aplicaciones Informáticas Página 1,Informática y Comunicaciones,3_Bachiller Técnico,MF_053_3,Análisis y diseño de sistemas informáticos
IFC006_3,Desarrollo y Administración de Aplicaciones Informáticas Página 1,Informática y Comunicaciones,3_Bachiller Técnico,MF_054_3,Desarrollo de aplicaciones y sistemas de información
IFC006_3,Desarrollo y Administración de Aplicaciones Informáticas Página 1,Informática y Comunicaciones,3_Bachiller Técnico,MF_055_3,Implementación y mantenimiento de aplicaciones y sistemas informáticos
IFC006_3,Desarrollo y Administración de Aplicaciones Informáticas Página 1,Informática y Comunicaciones,3_Bachiller Técnico,MF_056_3,Diseño y desarrollo de base de datos
IFC006_3,Desarrollo y Administración de Aplicaciones Informáticas Página 1,Informática y Comunicaciones,3_Bachiller Técnico,MF_057_3,Administración de base de datos
IFC006_3,Desarrollo y Administración de Aplicaciones Informáticas Página 1,Informática y Comunicaciones,3_Bachiller Técnico,MF_058_3,Análisis y diseño de reporte
IFC006_3,Desarrollo y Administración de Aplicaciones Informáticas Página 1,Informática y Comunicaciones,3_Bachiller Técnico,MF_059_3,Diseño de portales web y recursos multimedia
IFC006_3,Desarrollo y Administración de Aplicaciones Informáticas Página 1,Informática y Comunicaciones,3_Bachiller Técnico,MF_060_3,Desarrollo e implementación de soluciones web y multimedia
IFC006_3,Desarrollo y Administración de Aplicaciones Informáticas Página 1,Informática y Comunicaciones,3_Bachiller Técnico,MF_061_3,Duración: 360 horas
IFC007_3,Soporte de Redes y Sistemas,Informática y comunicaciones,3_Bachiller técnico,MF_062_3,Instalación de equipos informáticos
IFC007_3,Soporte de Redes y Sistemas,Informática y comunicaciones,3_Bachiller técnico,MF_063_3,Configuración de equipos informáticos
IFC007_3,Soporte de Redes y Sistemas,Informática y comunicaciones,3_Bachiller técnico,MF_064_3,Resolución de incidentes y requerimientos informáticos
IFC007_3,Soporte de Redes y Sistemas,Informática y comunicaciones,3_Bachiller técnico,MF_065_3,Aplicación de mantenimiento a equipos informáticos
IFC007_3,Soporte de Redes y Sistemas,Informática y comunicaciones,3_Bachiller técnico,MF_066_3,Cableado estructurado
IFC007_3,Soporte de Redes y Sistemas,Informática y comunicaciones,3_Bachiller técnico,MF_067_3,Redes de datos
IFC007_3,Soporte de Redes y Sistemas,Informática y comunicaciones,3_Bachiller técnico,MF_068_3,Seguridad y domótica
IFC007_3,Soporte de Redes y Sistemas,Informática y comunicaciones,3_Bachiller técnico,MF_069_3,Centrales telefónicas
IFC007_3,Soporte de Redes y Sistemas,Informática y comunicaciones,3_Bachiller técnico,MF_070_3,Duración: 360 horas
IFC008_2,Operaciones Informáticas Página 1,Informática y Comunicaciones,2_ Técnico Básico,MF_071_2,Ensamble y configuración de equipos informáticos
IFC008_2,Operaciones Informáticas Página 1,Informática y Comunicaciones,2_ Técnico Básico,MF_072_2,Sistemas Operativos
IFC008_2,Operaciones Informáticas Página 1,Informática y Comunicaciones,2_ Técnico Básico,MF_073_2,Aplicaciones informáticas y herramientas de difusión de contenidos
IFC008_2,Operaciones Informáticas Página 1,Informática y Comunicaciones,2_ Técnico Básico,MF_074_2,Reparación y mantenimiento de equipos informáticos
IFC008_2,Operaciones Informáticas Página 1,Informática y Comunicaciones,2_ Técnico Básico,MF_075_2,Redes locales
IFC008_2,Operaciones Informáticas Página 1,Informática y Comunicaciones,2_ Técnico Básico,MF_076_2,Módulo de
AYC038_3,Gestión Administrativa y Tributaria Página 1,Administración y Comercio,3_Bachiller Técnico,MF_361_3,Comunicación empresarial
AYC038_3,Gestión Administrativa y Tributaria Página 1,Administración y Comercio,3_Bachiller Técnico,MF_362_3,Gestión de datos y documentos
AYC038_3,Gestión Administrativa y Tributaria Página 1,Administración y Comercio,3_Bachiller Técnico,MF_348_3,Contabilidad
AYC038_3,Gestión Administrativa y Tributaria Página 1,Administración y Comercio,3_Bachiller Técnico,MF_364_3,Operaciones administrativas de compraventa
AYC038_3,Gestión Administrativa y Tributaria Página 1,Administración y Comercio,3_Bachiller Técnico,MF_358_3,Impuestos al Consumo y a vehículos de motor
AYC038_3,Gestión Administrativa y Tributaria Página 1,Administración y Comercio,3_Bachiller Técnico,MF_366_3,Gestión administrativa de tesorería
AYC038_3,Gestión Administrativa y Tributaria Página 1,Administración y Comercio,3_Bachiller Técnico,MF_367_3,Gestión administrativa de Recursos Humanos
AYC038_3,Gestión Administrativa y Tributaria Página 1,Administración y Comercio,3_Bachiller Técnico,MF_368_3,Impuesto sobre la Renta
AYC038_3,Gestión Administrativa y Tributaria Página 1,Administración y Comercio,3_Bachiller Técnico,MF_369_3,Gestión y tramitación de documentación en la Administración Pública y Tributaria
AYC038_3,Gestión Administrativa y Tributaria Página 1,Administración y Comercio,3_Bachiller Técnico,MF_370_3,Organización y gestión de una asistencia a la Dirección
AYC038_3,Gestión Administrativa y Tributaria Página 1,Administración y Comercio,3_Bachiller Técnico,MF_371_3,Comercialización de productos y servicios financieros y de seguros
AYC038_3,Gestión Administrativa y Tributaria Página 1,Administración y Comercio,3_Bachiller Técnico,MF_372_3,Impuestos de régimen aduanero y municipal
AYC038_3,Gestión Administrativa y Tributaria Página 1,Administración y Comercio,3_Bachiller Técnico,MF_373_3,Duración: 360 horas
AYC036_3,Comercio y Mercadeo Página 1,Administración y Comercio,3_Bachiller Técnico,MF_340_3,Técnicas de ventas
AYC036_3,Comercio y Mercadeo Página 1,Administración y Comercio,3_Bachiller Técnico,MF_341_3,Información y atención al(a la) cliente(a); consumidor(a) y usuario(a)
